goal_key,goal_name,category,horizon,priority,rationale,target_IDR,target_SGD,target_MYR,target_PHP,who_it_applies_to
emergency_fund,Emergency fund,safety,medium,1,"A cash buffer for illness, vehicle breakdown, or a slow week - the gig-worker's substitute for sick leave.","4,000,000-9,000,000","3,000-6,500","2,500-5,500","30,000-70,000",all drivers
income_smoothing_buffer,Income smoothing buffer,safety,short,1,A small liquid pocket that tops up lean weeks so essentials are always covered.,"1,500,000-3,500,000","900-2,200","800-1,900","9,000-24,000",all drivers
health_insurance_fund,Health insurance premium fund,safety,medium,1,Set aside the annual health-cover premium so a hospital visit doesn't become debt.,"1,800,000-4,200,000","700-1,800","650-1,600","7,000-18,000",all drivers
clear_bnpl,Clear BNPL balance,debt,short,2,Pay off buy-now-pay-later balances before interest and late fees compound.,"1,200,000-3,800,000","400-1,400","380-1,300","4,500-16,000",firefighter / grower
vehicle_loan_payoff,Pay off vehicle loan early,debt,long,2,Clear the motorbike or car instalment ahead of schedule to free up monthly cashflow.,"6,000,000-16,000,000","3,500-9,000","3,000-8,000","40,000-120,000",firefighter / stabilizer
vehicle_upgrade,Upgrade to a better vehicle,asset,long,3,"A newer or larger vehicle means more trips, lower maintenance, and higher fares.","12,000,000-28,000,000","6,000-16,000","5,000-14,000","70,000-180,000",grower
vehicle_major_service,Major vehicle service fund,asset,short,3,"Save ahead for tyres, brakes, and the annual big service so the vehicle never stops earning.","800,000-2,500,000","300-1,100","280-1,000","3,500-12,000",all drivers
second_phone,New phone for work,asset,short,3,A reliable phone with good battery and GPS is core equipment for accepting trips.,"2,000,000-4,500,000",350-900,350-950,"8,000-22,000",younger drivers (<35)
school_fees,Children's school fees,family,medium,2,Build the next term's tuition and uniform costs ahead of the school calendar.,"3,000,000-8,000,000","1,500-4,500","1,400-4,200","15,000-55,000",drivers with dependents
family_home_improvement,Home improvement for family,family,long,3,"Repairs or upgrades to the family home - a roof, a room, plumbing.","8,000,000-22,000,000","4,000-11,000","3,500-10,000","45,000-140,000",with dependents or age 40+
parents_support,Support for parents,family,medium,2,A dedicated pocket for sending money home to ageing parents.,"2,500,000-6,000,000","1,200-3,500","1,100-3,200","12,000-40,000",all drivers
wedding,Wedding fund,life_event,long,4,Save toward a wedding - the partner's own or a close family member's.,"15,000,000-40,000,000","8,000-22,000","7,000-20,000","80,000-220,000","younger drivers, no dependents"
hajj_umrah,Hajj / Umrah pilgrimage,life_event,long,4,A long-term fund for the pilgrimage - a major lifetime goal for many Muslim partners.,"25,000,000-45,000,000","9,000-18,000","8,000-16,000","90,000-180,000",Muslim drivers
new_baby,New baby fund,life_event,medium,3,"Cover the hospital, equipment, and first-year costs of a new child.","5,000,000-12,000,000","2,500-7,000","2,200-6,500","25,000-80,000",younger drivers
small_business,Start a small side business,growth,long,4,"Seed capital for a warung, online shop, or food stall to diversify income beyond driving.","10,000,000-25,000,000","5,000-13,000","4,500-12,000","50,000-150,000",grower
retirement_nest,Long-term retirement savings,growth,long,4,Gig work has no pension - a long-horizon pocket builds one slowly.,"20,000,000-50,000,000","10,000-30,000","9,000-26,000","100,000-300,000",age 40+ or stabilizer
skills_course,Skills course / certification,growth,medium,4,"Fund a short course - a licence, a language, a trade skill - to open new income options.","1,500,000-5,000,000","600-2,500","550-2,300","6,000-28,000",younger drivers
home_downpayment,Home down-payment,growth,long,4,A long-term fund toward the deposit on a first home for the family.,"30,000,000-60,000,000","15,000-40,000","13,000-35,000","150,000-400,000",grower / stabilizer
